id|iso_country|slug_place|latitude|longitude|nearest_iata_code|kdtree_dist_ns_cities_id
es:cantabria|es|Cantabria|43.21658406739874|-3.7920867729808094|SDR|0.16410683143122579|
pa:david|pa|David|8.433333|-82.433333|DAV|4.666904755981115e-05|
es:durango|es|Durango |43.168685|-2.631786|BIO|0.3091014704284008|
mx:testtourico|mx|testtourico|19.4331348|-99.15733369999998|MEX|0.02791608294028644|
cr:liberia|cr|Liberia|10.634596|-85.440675|LIR|0.0074178326349373745|
za:randburg|za|Randburg|-26.095484096497863|27.97290802001953|JNB|0.09387286110921746|
za:centurion|za|Centurion|-25.836639427550097|28.18102598190308|PRY|0.13846430835369636|
za:vereeniging|za|Vereeniging|-26.675590100227165|27.925647664815195|JNB|0.5162468007709444|
za:magaliesburg|za|Magaliesburg|-26.000500706329916|27.54850761964918|HLA|0.3487395229785994|
za:pretoria|za|Pretoria|-25.746111|28.188056|PRY|0.05698095170317661|
za:umhlanga|za|Umhlanga|-29.730358969392178|31.083391048014168|DUR|0.16975840460078515|
es:almeria|es|Almeria|36.840278|-2.468056|LEI|0.03934233877135303|
es:meloneras|es|Meloneras|27.745948671246385|-15.606465339660646|LPA|0.18399694345369058|
cl:la serena|cl|La Serena|-29.902669|-71.251937|LSC|0.0032978068469814107|
za:nelspruit|za|Nelspruit|-25.465833|30.985278|NLP|0.017304836693825296|
za:kimberley|za|Kimberley|-28.73844882736867|24.763545691967014|KIM|0.010554628202969544|
mx:orizaba|mx|Orizaba|18.8504744|-97.10363960000001|OZ1|4.715421508914173e-05|
es:leiro|es|Leiro|42.36884939999999|-8.126346199999944|VGO|0.6217347136318394|
es:baqueira|es|Baqueira|42.699561|0.931314|ALV|0.6182776458169914|
es:solsona|es|Solsona|41.9933358|1.5154640000000654|MNI|0.505573235420741|
es:la seu d´urgell|es|La Seu D´Urgell|42.3575784|1.455552500000067|ALV|0.15491452450561713|
es:los corrales de buelna|es|Los Corrales de Buelna|43.26020603533185|-4.068374633789063|S38|0.13486999397664973|
es:puerto naos la palma|es|Puerto Naos, La Palma|28.586844|-17.9126874|GMZ|0.9403652666994674|
es:puerto de tazacorte isla de la palma|es|Puerto de Tazacorte, Isla de La Palma|28.6436449|-17.9430451|GMZ|0.9966095035619632|
es:costa del silencio   tenerife sur|es|Costa del Silencio - Tenerife Sur|28.005847|-16.645675|TCI|0.28619531171570756|
mx:tijuana|mx|Tijuana|32.504106354003895|-116.96529205019567|TIJ|0.1147814265964545|
es:vilanova i la geltru|es|Vilanova i la Geltru|41.21515|1.727446|MNI|0.411486427714205|
es:lanzarote|es|Lanzarote|29.02615398405301|-13.638839721679688|ACE|0.11608446601608766|
pe:aguas calientes|pe|Aguas Calientes|-13.1547062|-72.52544119999999|AG1|0.007971199509487789|
es:alicante|es|Alicante|38.34865705156157|-0.47790527343750006|ALC|0.006236705651396821|
es:avila|es|Avila|40.65|-4.683333|SL4|0.5389012358650722|
es:mérida|es|Mérida |38.914296|-6.349197|QWX|0.011429979221328804|
es:burgos|es|Burgos|42.35|-3.706667|SDR|1.0347179803642113|
es:comillas|es|Comillas|43.385705|-4.292337|S38|0.18396651052297563|
za:somerset west|za|Somerset West|-34.082450415562505|18.845287039875988|CPT|0.44127722874246683|
za:caledon|za|Caledon|-34.23041433291439|19.428355693817142|CPT|1.0407269538729287|
za:barrydale|za|Barrydale|-33.90441120269326|20.72602459229529|OUH|1.4994887871528308|
es:san sebastian|es|San Sebastian|43.321389|-1.985556|EAS|0.005643337399093683|
es:costa de antigua fuerteventura|es|Costa de Antigua, Fuerteventura|28.4132926|-13.8658593|FUE|0.1955778775830473|
cr:tamarindo|cr|Tamarindo|10.299167|-85.837106|SC1|0.2580268572164615|
es:girona|es|Girona|41.96970131621059|2.8179931640625004|GRO|0.010288890862636952|
es:granada|es|Granada|37.178056|-3.600833|GRX|0.020521769538711238|
mx:guadalajara|mx|Guadalajara|20.666667|-103.35|GDL|0.020275820303993868|
za:hoedspruit|za|Hoedspruit|-24.35960758535081|30.95260620117188|HDS|0.008436163123425837|
es:huelva|es|Huelva|37.25|-6.95|SVQ|0.9755082324239869|
es:playa de talamanca ibiza|es|Playa de Talamanca, Ibiza|38.9156755|1.4526721|IBZ|0.022355872576572906|
cr:manuel antonio|cr|Manuel Antonio|9.375556|-84.135833|XQP|0.05630849514060645|
za:st. lucia|za|St. Lucia|-28.383333|32.416667|HLW|0.3745795746940826|
za:margate|za|Margate|-30.865283816829443|30.370395518839363|MGH|0.02701082418092923|
za:port shepstone|za|Port Shepstone|-30.745450365202263|30.45337267220021|MGH|0.1585641087444613|
es:laredo|es|Laredo|43.40997350705885|-3.41726303100586|SDR|0.3838701278468664|
es:leon|es|Leon |42.605556|-5.57|LEN|0.02555600000000169|
es:logroño|es|Logroño|42.462719|-2.444985|RJL|0.016838883157738346|
es:san agustín gran canaria|es|San Agustín, Gran Canaria|27.76664632824637|-15.55217742919922|LPA|0.15364700748867643|
es:costa de la luz|es|Costa de la Luz|36.8032916|-6.4402174|XRY|0.3257724218120984|
es:tarifa|es|Tarifa|36.014321|-5.60445|GIB|0.255297811860969|
es:ciutadella menorca|es|Ciutadella, Menorca|39.9991163|3.8389047000000573|MAH|0.276012867036609|
es:malaga|es|Malaga|36.721261|-4.4212655|AGP|0.0015306244640668721|
mx:valladolid|mx|Valladolid |20.68964|-88.202249|M13|0.11519961943496088|
es:murcia|es|Murcia|37.986111|-1.130278|MJV|0.006117320083177869|
es:oviedo|es|Oviedo|43.36|-5845.0|TVU|5665.338522993987|
es:vielha|es|Vielha|42.703013|0.793246|ALV|0.751206114648303|
es:sort|es|Sort|42.410312|1.128775|ALV|0.3979630799069184|
es:mallorca (island)|es|Mallorca (island)|39.609920257000795|2.69989013671875|PMI|0.06402139849047869|
es:playa de palma mallorca|es|Playa de Palma, Mallorca|39.52756942118063|2.7283419950189227|PMI|0.08876366949801005|
es:pamplona|es|Pamplona|42.81901410374522|-1.644086837768555|PNA|0.005994787652668075|
cr:puerto viejo de talamanca|cr|Puerto Viejo De Talamanca|9.6540146|-82.75494119999996|CHX|0.31831159858004066|
ar:río negro|ar|Río Negro|-41.15|-71.3|BRC|0.320916364989672|
es:tarragona|es|Tarragona|41.118883|1.244491|REU|0.14200070623063976|
pe:satipo|pe|Satipo|-11.255548|-74.639433|SFK|0.016837026551322933|
es:santiago de compostela|es|Santiago de Compostela|42.8782132|-8.5448445|SCQ|0.0059989477819043565|
es:santander|es|Santander|43.4623057|-3.8099803|SDR|0.08241224994247295|
es:segovia|es|Segovia|40.942903|-4.108807|SL4|0.3517549017180793|
